Courses,Modules,Summary,Enrolled User_IDs
Data Analytics,Introduction to Data Analytics,"The Introduction to Data Analytics module provides a comprehensive overview of the course and serves as the starting point for understanding the data analytics lifecycle. Through the exploration of two real-world data projects, namely dengue fever cases prediction and breast tumor classification, learners gain valuable insights into the process of extracting knowledge from datasets. By the end of this module, participants will be equipped with the necessary knowledge to describe a data analytics lifecycle using appropriate terminologies. The module covers essential topics such as data mining concepts, machine learning algorithms, project objective definition, data acquisition, data exploration and preprocessing, dimension reduction, classification and regression tasks, data partitioning, model training and performance evaluation, and best practices for presenting data mining projects.","A001, A002, A003, A004, A005, A010, L103, T105, P102, P108, P110"
Data Analytics,Data Visualization,"The Data Visualization module is designed to provide learners with a comprehensive understanding of the power and techniques of data visualization in the context of data mining. By mastering various visualization methods, participants will be able to effectively communicate insights from datasets through visually compelling plots. The module starts with the basics, covering fundamental plots like bar charts, line graphs, and scatter plots, and explores ways to enhance these visuals. It then delves into advanced visualization techniques, including network plots, heatmaps, tree maps, and map charts. With a focus on selecting the right visualization method for specific data mining tasks, this module equips learners with the skills needed to create impactful visual representations of data and extract meaningful insights.","A001, A002, A003, A004, A005, A010, L103, T105, P102, P108, P110"
Data Analytics,Dimension Reduction,"The Dimension Reduction module focuses on tackling the challenges posed by the curse of dimensionality in data analytics projects. Participants will gain a comprehensive understanding of the curse of dimensionality and its implications. The module provides effective strategies to mitigate these challenges by incorporating domain knowledge and data summarization techniques to reduce data dimensionality. Learners will also explore methods to reduce predictor categories while preserving the predictive power of the model. Additionally, the module emphasizes the importance of feature selection and introduces three major approaches to achieve it. Participants will learn about correlation analysis and its application in variable selection. The module culminates with an introduction to principal component analysis (PCA) and its practical implementation on the breast tumor classification dataset. By completing this module, learners will acquire valuable skills to overcome the curse of dimensionality and enhance the efficiency and accuracy of their data mining projects.","A001, A002, A003, A004, A005, A010, L103, T105, P102, P108, P110"
Data Analytics,Performance Evaluation,"The Performance Evaluation module is dedicated to the crucial task of evaluating and improving the performance of predictive models. The module emphasizes the significance of performance metrics and provides learners with a comprehensive understanding of key evaluation measures for both regression and classification models. Participants will gain hands-on experience by calculating various error metrics for regression tasks and constructing classification matrices for binary classifiers. The module focuses on critically assessing model performance, diagnosing issues like underfitting and overfitting, and utilizing combined and visual metrics such as ROC curves, gain charts, and lift charts. Additionally, learners will explore remedies for addressing data imbalance and inadequate record volume, preparing them to tackle real-world dataset challenges. By the end of this module, participants will possess the skills and knowledge necessary to effectively evaluate predictive performance and make informed decisions to enhance model accuracy.","A001, A002, A003, A004, A005, A010, L103, T105, P102, P108, P110"
Data Analytics,Multiple Linear Regression,"The Multiple Linear Regression module focuses on the practical application of multiple linear regression for prediction tasks. Participants will gain a solid understanding of the objectives of multiple linear regression, including explanatory and predictive modeling. The module covers the essential assumptions of the model and provides insights into the derivation of model parameters. Participants will also have the opportunity to explore a real-world example that demonstrates the implementation of the model in production. Additionally, the module briefly introduces three variable selection algorithms aimed at addressing the issue of multicollinearity. By completing this module, participants will develop the necessary skills to apply multiple linear regression effectively, interpret the results, and evaluate and select variables for the model.","A001, A002, A003, A004, A005, A010, L103, T105, P102, P108, P110"
Data Analytics,k-Nearest Neighbors,"The k-Nearest Neighbors module introduces participants to the k-Nearest Neighbors (k-NN) machine learning model, which is widely used for classification and prediction tasks. The module begins by explaining the fundamental concept of the k-NN model, which is based on measuring distances between data points. Participants will learn to compute Euclidean and Manhattan distances, which are crucial in the k-NN algorithm. The module provides practical examples, including breast cancer classification and Dengue cases prediction, to illustrate the application of k-NN in real-world scenarios. Additionally, participants will gain insights into selecting the optimal number of neighbors (k) and understanding the strengths and limitations of the k-NN model. By completing this module, participants will have the necessary skills to apply and evaluate the k-NN algorithm effectively in various data analysis tasks.","A001, A002, A003, A004, A005, A010, L103, T105, P102, P108, P110"
Data Analytics,Naïve Bayes,"The Naïve Bayes module explores the machine learning model known as the naïve Bayes classifier. Participants will delve into the foundations of the Bayes theorem and its application in classification tasks. The module addresses the practical challenges faced by the exact Bayes classifier and introduces the concept of the naïve Bayes classifier, which makes specific assumptions to overcome these limitations. By the end of the module, learners will have a comprehensive understanding of the naïve Bayes model, its implementation in classification tasks, and its strengths and limitations in real-world scenarios. This module equips participants with valuable knowledge and skills to effectively apply the naïve Bayes classifier in various data analysis and classification tasks.","A001, A002, A003, A004, A005, A010, L103, T105, P102, P108, P110"
Data Analytics,Decision Trees,"The Decision Trees module explores the powerful learning algorithm known as CART (Classification And Regression Trees). Participants will gain a comprehensive understanding of decision tree structures and the rules derived from them. The module focuses on the key concept behind the CART algorithm, which involves recursively partitioning input variable space using impurity measures. Participants will learn how decision trees can be utilized for both classification and regression tasks, with slight modifications to the algorithm. The module addresses the challenge of overfitting in decision trees and presents various remedies. Additionally, participants will be introduced to ensemble approaches such as Bagging and Boosting, and advanced decision tree models like Random Forest, Gradient Descent, and AdaBoost. By the end of the module, participants will have a solid understanding of decision trees, their applications, and the ensemble techniques associated with them. This knowledge will enable participants to build powerful predictive models and effectively analyze data using classification and regression trees.","A001, A002, A003, A004, A005, A010, L103, T105, P102, P108, P110"
Data Analytics,Logistic Regression,"The Logistic Regression module introduces participants to the versatile and interpretable supervised learning model known as logistic regression. Participants will gain a comprehensive understanding of logistic regression's mathematical formulation and its practical applications in classification and profiling. The module explores how logistic regression extends from the linear regression model using the logit function and covers the calculation and interpretation of odds and logit in logistic regression. Through examples like loan approval classification and breast cancer profiling, participants will apply logistic regression to real-world problems, enhancing their practical skills. Additionally, the module discusses the concepts of generative and discriminative classifiers, allowing participants to define and compare these approaches. By completing this module, participants will be equipped with the knowledge and skills necessary to effectively utilize and interpret logistic regression in various data analysis tasks.","A001, A002, A003, A004, A005, A010, L103, T105, P102, P108, P110"
Data Analytics,Association Rules,"The Association Rules module focuses on the essential concepts of association analysis and collaborative filtering, which are integral to unsupervised learning. Participants will gain a clear understanding of the distinction between supervised and unsupervised learning and delve into the fundamental idea behind association analysis and its practical applications. The module provides hands-on experience by applying association analysis to a dataset of grocery store transactions, enabling participants to calculate and interpret key association measures such as support, confidence, and lift. Moreover, participants will become familiar with the Apriori algorithm, which efficiently uncovers high-frequency itemsets. By completing this module, participants will acquire the skills needed to effectively apply association rules and collaborative filtering techniques to diverse real-world scenarios, expanding their capabilities in unsupervised learning.","A001, A002, A003, A004, A005, A010, L103, T105, P102, P108, P110"
Computation and Visualization,Introduction to Python Notebook Using Google Colab,"The Introduction to Python Notebook Using Google Colab module provides participants with a comprehensive understanding of the structure and functionality of Python notebooks. Participants will explore the advantages of using Python notebooks and specifically delve into the capabilities of Google Colab, a cloud-based interface widely utilized in industry for Python coding and execution. The module covers key components of a Python notebook, including text blocks and code blocks, enabling participants to effectively organize and execute their code. Participants will also learn the basics of Markdown, a markup language used for text formatting within notebooks. Additionally, the module introduces the concept of Runtime in Google Colab, allowing participants to execute their code efficiently. By the end of the module, participants will be equipped with the necessary skills to leverage Python notebooks using Google Colab for a variety of data analysis, machine learning, and programming projects.","A001, A002, A003, A004, A005, A010, L103, P101"
